Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1123 052 007 100 078 034
1213 090 036 090 077 030
1312 100 045 020 090 070
1453 011 017 081 032 077
5167 020 012 045 078 034
6113 034 080 055 078 045
7187 060 100 056 078 078
8102 070 010 066 078 056
9189 034 009 077 078 020
1194 045 040 088 078 055
2187 055 050 099 078 080
3118 022 070 100 078 077
4610 089 050 091 078 060
5410 011 011 000 078 010
6919 000 098 089 078 020
2341 052 007 100 078 034
1342 090 036 090 077 030
1243 100 045 020 090 070
5324 011 017 081 032 077
6785 020 012 045 078 034
1346 034 080 055 078 045
8747 060 100 056 078 078
0268 070 010 066 078 056
8939 034 009 077 078 020
9479 045 040 088 078 055
